value, key
KC.NO, NOOP
KC.TRNS, Use the next lowest non-transparent key
KC.A, `a` and `A`
KC.B, `b` and `B`
KC.C, `c` and `C`
KC.D, `d` and `D`
KC.E, `e` and `E`
KC.F, `f` and `F`
KC.G, `g` and `G`
KC.H, `h` and `H`
KC.I, `i` and `I`
KC.J, `j` and `J`
KC.K, `k` and `K`
KC.L, `l` and `L`
KC.M, `m` and `M`
KC.N, `n` and `N`
KC.O, `o` and `O`
KC.P, `p` and `P`
KC.Q, `q` and `Q`
KC.R, `r` and `R`
KC.S, `s` and `S`
KC.T, `t` and `T`
KC.U, `u` and `U`
KC.V, `v` and `V`
KC.W, `w` and `W`
KC.X, `x` and `X`
KC.Y, `y` and `Y`
KC.Z, `z` and `Z`
KC.N1, `1` and `!`
KC.N2, `2` and `@`
KC.N3, `3` and `#`
KC.N4, `4` and `$`
KC.N5, `5` and `%`
KC.N6, `6` and `^`
KC.N7, `7` and `&`
KC.N8, `8` and `*`
KC.N9, `9` and `(`
KC.N0, `0` and `)`